Country,Unemployment 2020,Unemployment 2021,Unemployment 2022,Unemployment 2023,Unemployment 2024
Albania,11.69,11.474,10.137,10.108,10.25
Belgium,5.545,6.248,5.57,5.528,5.488
Bulgaria,5.125,5.267,4.268,4.319,4.104
Canada,9.657,7.527,5.279,5.415,6.45
China,5.0,4.55,4.98,4.67,4.571
Czechia,2.55,2.803,2.224,2.579,2.506
Germany,3.881,3.594,3.12,3.068,3.406
Denmark,5.637,5.043,4.434,5.094,5.587
Spain,15.532,14.781,12.917,12.179,11.394
Estonia,6.956,6.178,5.571,6.378,7.828
Finland,7.759,7.617,6.719,7.151,8.26
France,8.009,7.874,7.308,7.335,7.37
United Kingdom,4.472,4.826,3.73,3.984,4.111
Greece,15.899,14.656,12.426,11.066,10.133
Croatia,7.507,7.608,6.96,6.086,5.236
Hungary,4.25,4.045,3.609,4.107,4.434
Iceland,5.478,6.029,3.789,3.518,3.107
Italy,9.164,9.497,8.069,7.627,6.778
Lithuania,8.487,7.112,5.955,6.841,7.504
Luxembourg,6.766,5.571,4.588,5.184,5.935
Latvia,8.098,7.513,6.815,6.465,6.72
North Macedonia,16.575,15.801,14.476,13.174,13.417
Montenegro,17.878,16.543,14.851,14.621,14.1
Netherlands,3.82,4.209,3.526,3.537,3.599
Norway,4.424,4.359,3.231,3.572,3.97
Poland,3.155,3.268,2.811,2.743,2.472
Portugal,6.801,6.577,6.011,6.509,6.384
Romania,5.035,5.59,5.614,5.589,5.379
Russia,5.62,4.749,3.867,3.076,2.527
Slovakia,6.719,6.894,6.143,5.84,5.234
Slovenia,4.971,4.744,4.011,3.652,3.357
Sweden,8.291,8.722,7.392,7.611,8.528
Türkiye,13.148,11.969,10.465,9.388,8.449
United States,8.055,5.349,3.65,3.638,4.106
